key,authors,year,title,venue,identifier,evidence_tier,relevance,documented_in,local_files,notes
milp-v2g-degradation2025,,2025,MILP Framework for V2G Optimization With Battery Degradation and Price Arbitrage in Scheduled Fleets,IEEE Open Journal of the Industrial Electronics Society,DOI: 10.1109/ojies.2025.3613601,abstract-level,core-threat,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not captured
min-norm-multiplier-cg,,,,MDPI Mathematics 14(6):931,Mathematics 14(6):931,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,minimum-norm-multiplier CG; named by venue only
miramar-v2g-demo,,,Optimized V1G and V2G Electric Vehicle Fleet Management and Grid Transaction at Marine Corps Air Station Miramar,OSTI technical report,OSTI 2580493,institutional/grey,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,military V2G demonstration report
modifiedchp,,,,,10.1016/j.ijepes.2018.02.023,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md,,modified CHP with price-sensitive load; title not given
monderer1996,"Monderer, D., & Shapley, L. S.",1996,Potential Games,Games and Economic Behavior 14(1):124–143,DOI: 10.1006/game.1996.0044,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,potential games and FIP baseline
morabit2023,"Morabit, Desaulniers, Lodi",2023,Machine-Learning-Based Arc Selection for Constrained Shortest Path Problems in Column Generation,,10.1287/ijoo.2022.0082,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md,,reduced-network ML preserving LP certificate
moving-money-around2025,,2025,Moving Money Around: Mobile Energy Storage and the Value of Geospatial Flexibility,Harvard Business School working paper,hbs.edu,institutional/grey,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,no DOI observed; authors not captured
multi-area-islanded2023,,2023,Energy Management of Multi-Area Islanded Hybrid Microgrids: A Stochastic Approach,IEEE Access,DOI: 10.1109/access.2023.3313259,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
muthirayan2020,Muthirayan et al.,2020,Mechanism Design for Demand Response Programs,,10.1109/TSG.2019.2917396,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md,,demand-response mechanism design foundation
najafi2023,"Najafi, F. & Fripp, M.",2023,Market-based coordination of price-responsive demand using Dantzig-Wolfe decomposition method,Energy and AI,10.1016/j.egyai.2023.100277,abstract-level,core-threat,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,gates B1/B2 differentiation
nitsch2025,"Nitsch, F.",2025,Flexibility options in electricity markets with high shares of renewable energies,DLR dissertation,,institutional/grey,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,dissertation; avalanche in agent-based practice
nonconvex-bilevel-market2019,,2019/2020,Incorporating Non-Convex Operating Characteristics into Bi-Level Optimization Electricity Market Models,IEEE TPWRS,DTU PDF,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured; misreporting nonconvexities
nourian2013,"Nourian, M., & Caines, P. E.",2013,ε-Nash Mean Field Game Theory for Nonlinear Stochastic Dynamical Systems with Major and Minor Agents,SIAM J. Control and Optimization 51(4):3302–3331,DOI: 10.1137/120889496,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,
nrel-admm-report,,,,NREL report,docs.nlr.gov/fy21osti/79129.pdf,institutional/grey,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,ADMM-for-MIP workarounds; named by URL only
oberdieck2014,"Oberdieck, Wittmann-Hohlbein, Pistikopoulos",2014,,J. Global Optim. 59(2),,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,mp-MILP branch-and-bound; title not given
oecd2009,OECD,2009,Monopsony and Buyer Power,Policy Roundtable report,,institutional/grey,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,no DOI
off-grid-on-fence2025,,2025,Off the grid and on the fence: Unpacking electric vehicle adoption barriers in isolated microgrids,Energy Research & Social Science,DOI: 10.1016/j.erss.2025.104281,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
oligopolistic-lem2025,,2025,Powering sustainability: Analyzing local energy market equilibrium with energy storage and renewable resources in oligopolistic grids,Journal of Energy Storage,DOI: 10.1016/j.est.2025.119406,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,thin-market power premise; authors not captured
oneill2005,"O'Neill, R.P., Sotkiewicz, P.M., Hobbs, B.F., Rothkopf, M.H. & Stewart, W.R. Jr.",2005,Efficient market-clearing prices in markets with nonconvexities,European Journal of Operational Research 164:269–285,10.1016/j.ejor.2003.12.011,abstract-level,method-anchor,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md;AGENT4_ECONOMIC_THEORY_20260814.md,,pricing-under-indivisibility spine; title not given
online-v2g-aging2024,,2024,Online Optimization of Vehicle-to-Grid Scheduling to Mitigate Battery Aging,Energies 17(7):1681,mdpi.com/1996-1073/17/7/1681,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not captured
optimalchargingschedule2021,,2021,Optimal Charging Schedule Planning for Electric Buses Using Aggregated Day-Ahead Auction Bids,Energies 14(16):4727,mdpi.com/1996-1073/14/16/4727,abstract-level,core-threat,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md;AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,kills bus envelope day-ahead bidding claim
oren1985,"Oren, Smith & Wilson",1985,Capacity Pricing,Econometrica 53(3),DOI: 10.2307/1911654,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,
osaki2025,"Osaki, F., Fujimoto, Y., Iino, Y., Ihara, Y., Mitsuoka, M., Hayashi, Y.",2025,Dynamic bus charge scheduling by model predictive control to maximize local PV surplus power utilization,"eTransportation 25, art. 100441",DOI: 10.1016/j.etran.2025.100441,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,seen via citation trail
p2p-trading-review2024,,2024,A Review of Peer-to-Peer Energy Trading Markets: Enabling Models and Technologies,Energies 17(7):1702,DOI: 10.3390/en17071702,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
p90-nordic2024,,2024,Leveraging P90 Requirement: Flexible Resources Bidding in Nordic Ancillary Service Markets,arXiv,DOI: 10.48550/arxiv.2404.12807,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not captured
parametric-bilevel-bidding2013,,2013,Mixed integer parametric bilevel programming for optimal strategic bidding ... with indivisibilities,Optimization,DOI: 10.1080/02331934.2013.801473,abstract-level,core-threat,AGENT4_ECONOMIC_THEORY_20260814.md,,title truncated in source; authors not captured
parmentier2023,"Parmentier, A., Martinelli, R., Vidal, T.",2023,Electric Vehicle Fleets: Scalable Route and Recharge Scheduling Through Column Generation,Transportation Science 57(3):631–646,DOI: 10.1287/trsc.2023.1199,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,scalability toolbox
perdomo2020,"Perdomo, J., Zrnic, T., Mendler-Dünner, C., & Hardt, M.",2020,Performative Prediction,"ICML 2020, PMLR 119:7599–7609",,abstract-level,core-threat,HANDOFF_PRICE_MAKER_20260814.md;AGENT4_ECONOMIC_THEORY_20260814.md,,feedback-loop learning theory frame
perezdiaz2018,"Perez-Diaz, Gerding, McGroarty",2018,Coordination and payment mechanisms for electric vehicle aggregators,,10.1016/j.apenergy.2017.12.036,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md,,EV VCG redistribution; truthfulness versus budget balance
performative-ts-forecasting,,,Performative Time-Series Forecasting,arXiv,arXiv:2310.06077; DOI: 10.48550/arxiv.2310.06077,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,authors and year not captured
performativenonconvex2024,,2024,Stochastic Optimization Schemes for Performative Prediction with Nonconvex Loss,NeurIPS 2024,,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,first nonconvex-loss performative analysis
performativesurvey2025,,2025/26,Dissecting Performative Prediction: A Comprehensive Survey,,10.1145/3816429,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,organizes performative stability and optimality
perumal2022,Perumal et al.,2022,,EJOR,,abstract-level,domain-context,EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md,,e-bus scheduling survey; title not given
pessoa2018,"Pessoa, A., Sadykov, R., Uchoa, E. & Vanderbeck, F.",2018,Automation and Combination of Linear-Programming Based Stabilization Techniques in Column Generation,INFORMS Journal on Computing 30(2):339–360,10.1287/ijoc.2017.0784,abstract-level,method-anchor,READING_QUEUE.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,column generation stabilization line; title not given
player-specific-congestion,,,On the Convergence Time of the Best Response Dynamics in Player-specific Congestion Games,arXiv,arXiv:0805.1130; DOI: 10.48550/arxiv.0805.1130,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured; cycling prototype
pnnl-33252,,,,Pacific Northwest National Laboratory,PNNL-33252,institutional/grey,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,TE practices survey; identifier only
pnnl-34505,,,,Pacific Northwest National Laboratory,PNNL-34505,institutional/grey,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,TE practices survey; identifier only
pomocg,,,POMO-CG,,arXiv:2504.02383,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,end-to-end RL pricing; year not stated
price-maker-ev-aggregator2020,,2020,Risk-constrained offering strategies for a large-scale price-maker electric vehicle demand aggregator,IET Smart Grid,DOI: 10.1049/iet-stg.2019.0210,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
pricingranking2025,,2025,,EJOR 320(2),,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,ML ranking of pricing problems; title not given
priority-service-bilevel2020,,2020,A Bi-Level Optimization Formulation of Priority Service Pricing,IEEE Transactions on Power Systems,DOI: 10.1109/tpwrs.2019.2961173,abstract-level,core-threat,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured; Papavasiliou group
prosumer-strategic-aggregation2020,,2020,Large-scale aggregation of prosumers toward strategic bidding in joint energy and regulation markets,Applied Energy,PII S0306261920306711,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,DOI not captured; authors not captured
pypsa-de2025,,2025,,arXiv,arXiv:2510.09414,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,PyPSA-DE preprint; title and authors not captured
quadratic-transfer-pricing,,,,,DOI: 10.1287/mnsc.14.6.b310,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,quadratic-decomposition transfer pricing; DOI only
reverse-stackelberg-lem2025,,2025,A reverse Stackelberg model for demand response in local energy markets,European Journal of Operational Research,DOI: 10.1016/j.ejor.2025.06.017,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
rlhyperheuristic2025,,2025,,Computers & Industrial Engineering,,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,RL hyper-heuristic pricing-network pruning; title not given
robu2013,Robu et al.,2013,An Online Mechanism for Multi-Unit Demand and its Application to Plug-in Hybrid Electric Vehicle Charging,JAIR,DOI: 10.1613/jair.4064,abstract-level,core-threat,AGENT4_ECONOMIC_THEORY_20260814.md,,journal version of gerding2011
roozbehani2012,"Roozbehani, M., Dahleh, M. A., & Mitter, S. K.",2012,Volatility of Power Grids Under Real-Time Pricing,IEEE Transactions on Power Systems 27(4):1926–1940,10.1109/tpwrs.2012.2195037,abstract-level,method-anchor,READING_QUEUE.md;AGENT4_ECONOMIC_THEORY_20260814.md,,oscillation/damping canon; title not given
satchidanandan2022,"Satchidanandan, Roozbehani, Dahleh",2022,A Two-Stage Mechanism for Demand Response Markets,,10.1109/LCSYS.2022.3186654,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md,,two-stage demand-response mechanism
scarf1960,"Scarf, H.E.",1960,Some Examples of Global Instability of the Competitive Equilibrium,International Economic Review,DOI: 10.2307/2556215,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,canonical tatonnement cycling counterexample
scarf1981,Scarf,1981,Production Sets with Indivisibilities (Parts I & II),Econometrica,"DOIs: 10.2307/1911124, 10.2307/1913318",abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,two-part work kept as one row
scarf1994,"Scarf, H. E.",1994,The Allocation of Resources in the Presence of Indivisibilities,Journal of Economic Perspectives 8(4):111–128,10.1257/jep.8.4.111,abstract-level,method-anchor,READING_QUEUE.md;AGENT4_ECONOMIC_THEORY_20260814.md,,pricing-under-indivisibility spine; title not given
seaport-microgrid-scheduling2022,,2022,Optimal power scheduling of seaport microgrids with flexible logistic loads,IET Renewable Power Generation,DOI: 10.1049/rpg2.12401,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
sen2016,Şen & Caines,2016,,SIAM J. Control Optim.,DOI: 10.1137/16m1063010,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,partially observed variant; named by DOI
ship-refueling-comparison,,,A comparative analysis of sequential and integrated optimization models for ship refueling operations,Electronic Research Archive,DOI: 10.3934/era.2026025,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,authors and year not captured
short-term-beb2025,,2025,Short-term scheduling optimization of battery electric buses in the context of sustainable energy resources under uncertainty,"International Journal of Electrical Power & Energy Systems, art. 110715",DOI: 10.1016/j.ijepes.2025.110715,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not itemized on page
singlelevelreformulation2025,,2025,A single-level reformulation of binary bilevel programs using decision diagrams,Mathematical Programming,10.1007/s10107-025-02294-1,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,decision-diagram encoding of follower solutions
sioshansi2010,"Sioshansi, R.",2010,Welfare Impacts of Electricity Storage and the Implications of Ownership Structure,The Energy Journal 31(2),10.5547/issn0195-6574-ej-vol31-no2-7,abstract-level,method-anchor,READING_QUEUE.md;AGENT4_ECONOMIC_THEORY_20260814.md,,storage-welfare baseline for B8/B9; title not given
sioshansi2014,"Sioshansi, R.",2014,When energy storage reduces social welfare,Energy Economics 41:106–116,,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,identifier unverified; RePEc listing
solar-transit-planning2025,,2025,Charge Schedule Optimization and Infrastructure Planning for Solar-Integrated Electric Bus Transit Systems,arXiv,DOI: 10.48550/arxiv.2504.20790,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not captured
son2025,"Son, J., Im, J., Kim, D.",2025,Urban transit optimization: Efficient electric bus operations and vehicle-to-grid integration,Computers & Industrial Engineering 205,DOI: 10.1016/j.cie.2025.111169,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,
song2025,"Yingjie Song, Dong Ngoduy, Takao Dantsuji, and Chuan Ding",2025,Dynamic equilibrium of the coupled transportation and power networks considering electric vehicles charging behavior,Transportation Research Part A 199,10.1016/j.tra.2025.104590,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;ROUTE_AND_RESPONSE_LEARNING_20260814.md;EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md,12.pdf;S0965856425002186.html,kills dynamic coupled equilibrium with charger queues claim
stabilised-scenario-decomposition,,,stabilised scenario decomposition algorithm applied to stochastic unit commitment,,,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,cited in MaRDI listing; authors not captured
stackelberg-mfg-master,,,Master equation of discrete-time Stackelberg mean field games with multiple leaders,arXiv,arXiv:2209.03186,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured
stochastic-bilevel-eva2019,,2019,,Energies 12(20):3813,Energies 12(20):3813,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,stochastic bilevel EV aggregator; DOI not observed
storage-epec2019,,2019,Investigating the impacts of price-taking and price-making energy storage in electricity markets through an equilibrium programming model,"IET Generation, Transmission & Distribution",DOI: 10.1049/iet-gtd.2018.6223,abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured
storage-soe-management,,,Energy Storage Participation in Wholesale Markets: The Impact of State-of-Energy Management,IEEE Open Access Journal of Power and Energy,DOI: 10.1109/oajpe.2022.3174523,abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,authors and year not captured
storage-withholding2024,,2024,Market Power and Withholding Behavior of Energy Storage Units,arXiv,DOI: 10.48550/arxiv.2405.01442,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,withholding monitoring framework; authors not captured
strategic-consumer-bidding2022,,2022,Strategic Biddings of a Consumer demand in both DA and Balancing Markets in Response to Renewable Energy Integration,Electric Power Systems Research,DOI: 10.1016/j.epsr.2022.108132,abstract-level,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,authors not captured
subramanian2022,"Vignesh Subramanian, Felipe Feijoo, Sriram Sankaranarayanan, Kevin Melendez, and Tapas K. Das",2022,A bilevel conic optimization model for routing and charging of EV fleets serving long distance delivery networks,Energy 251,10.1016/j.energy.2022.123808,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;ROUTE_AND_RESPONSE_LEARNING_20260814.md,main1.pdf,kills bilevel fleet routing with endogenous LMP claim
sun2025,"Sun, Y., Guo, Y., Zhang, Q., Jia, Y.",2025,Berth allocation and energy scheduling for all-electric ships in seaport microgrid: A Stackelberg game approach,Energy 322:135640,DOI: 10.1016/j.energy.2025.135640,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,cross-domain analogue; full-text audit recommended
svce2022,Silicon Valley Clean Energy,2022,ResponDER market design,,,institutional/grey,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,regulatory grey; aggregator-of-aggregators
tahernejad2020,"Tahernejad, Ralphs, DeNegre",2020,A branch-and-cut algorithm for mixed integer bilevel linear optimization problems and its implementation,Math. Programming Computation,,abstract-level,method-anchor,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md,,MibS solver paper
tajeddini2019,Tajeddini & Kebriaei,2019,,IEEE Systems Journal,DOI: 10.1109/jsyst.2018.2855971,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,related work; named by DOI only
tajeddini2020,"Tajeddini, M. A., Kebriaei, H., & Glielmo, L.",2020,Decentralized Hierarchical Planning of PEVs Based on Mean-Field Reverse Stackelberg Game,IEEE Trans. Automation Science and Engineering 17(4):2014–2024,DOI: 10.1109/tase.2020.2986374,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,
terada2025,"Terada, L.Z., Magalhães, M.M., Córtez, J.C., Soares, J., Vale, Z., Rider, M.J.",2025,"Multi-objective optimization for microgrid sizing, electric vehicle scheduling and vehicle-to-grid integration","Sustainable Energy, Grids and Networks 43, art. 101773",DOI: 10.1016/j.segan.2025.101773; SSRN 10.2139/ssrn.5202657,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,Nash-bargained endogenous V2G price
thingvad2023,Thingvad/collaborators,2023,Assessing the incorporation of battery degradation in vehicle-to-grid optimization models,Energy Informatics,DOI: 10.1186/s42162-023-00288-x,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,degradation model taxonomy; authors not fully captured
toquica2020,"Toquica, De Oliveira-De Jesus, Cadena",2020,Power market equilibrium considering an EV storage aggregator exposed to marginal prices - A bilevel optimization approach,,10.1016/j.est.2020.101267,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;BIDDING_GAMES_20260814.md,main3234.pdf;S2352152X19308837.html,kills monopoly EV-storage Stackelberg nodal-price claim
transactive-energy-review2021,,2021,"Transactive Energy: State-of-the-Art in Control Strategies, Architectures, and Simulators",IEEE Access,DOI: 10.1109/access.2021.3115154,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
transactive-ev-scheduling2024,,2024,Transactive-Based Day-Ahead Electric Vehicles Charging Scheduling,IEEE Transactions on Transportation Electrification,DOI: 10.1109/tte.2023.3348490,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
transformer-limits-ev,,,Should we reinforce the grid? Cost and emission optimization of electric vehicle charging under different transformer limits,Wageningen repository PDF,,institutional/grey,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,identifier unverified; venue not observed
tri-level-rsg2026,,2026,A tri-level cooperative optimization framework for electric vehicle charging via a mean-field reverse Stackelberg game,Int. J. Electrical Power & Energy Systems,DOI: 10.1016/j.ijepes.2026.111855,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,author list not captured
trustful-double-auction2024,,2024,Trustful double auction design for Peer-to-Peer energy trading between interconnected micro-grids with supply–demand imbalance,International Journal of Electrical Power & Energy Systems,DOI: 10.1016/j.ijepes.2024.110117,abstract-level,domain-context,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,,authors not captured
uplight2024,Uplight,2024,Response to NJ BPU Order 2222 RFI,,,institutional/grey,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,regulatory grey filing
usdoe-sourcing-der,US DOE,,Sourcing Distributed Energy Resources for Distribution Grid Services,,,institutional/grey,domain-context,AGENT4_ECONOMIC_THEORY_20260814.md,,year not captured
v2g-anti-aging2020,,2020,Optimization of Bi-Directional V2G Behavior With Active Battery Anti-Aging Scheduling,IEEE Access,DOI: 10.1109/access.2020.2964699,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,authors not captured
vankootenniekerk2017,"van Kooten Niekerk, van den Akker & Hoogeveen",2017,Scheduling electric vehicles,Public Transport,DOI: 10.1007/s12469-017-0164-0,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,EVSP column-generation baseline
vaya2015a,"Vayá, M.G., Andersson, G.",2015,Optimal bidding of plug-in electric vehicle aggregator in day-ahead and regulation markets,Int. J. Electric and Hybrid Vehicles 7(3):209–232,IJEHV 7(3):209–232,abstract-level,core-threat,AGENT1_MICROGRID_PRICE_FORMATION_20260814.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,distinct from vaya2015b TPWRS paper
vpp-price-maker2023,,2023,,IEEE ECAI 2023,DOI: 10.1109/ecai58194.2023.10193892,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,price-maker VPP with EVs; DOI only
vrptw-et2025,,2025,A multi-objective evolutionary algorithm with constraint-compliant initialization for energy transport and urban logistics in Electric Vehicle Routing,University of Cambridge repository,,institutional/grey,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,defines VRPTW-ET; authors not captured
vuelvas2018,"Vuelvas, Ruiz, Gruosso",2018,Limiting gaming opportunities on incentive-based demand response programs,,10.1016/j.apenergy.2018.05.050,abstract-level,method-anchor,HANDOFF_PRICE_MAKER_20260814.md,,incentive design against demand-response gaming
wang2024,"Qi Wang, Chunyi Huang, Chengmin Wang, Kangping Li, and Ning Xie",2024,Joint optimization of bidding and pricing strategy for electric vehicle aggregator considering multi-agent interactions,Applied Energy 360,10.1016/j.apenergy.2024.122810,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;MARKET_MECHANISMS_AND_BUS_DR_20260814.md;EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md,3.pdf,kills price-route-load-price fixed-point iteration claim
wang2024b,"Wang, Y., Chen, J., Tang, T., Liu, Z.",2024,A holistic approach to multi-depot electric bus scheduling for energy saving considering limitations in charging facilities,"Energy 303, art. 131880",10.1016/j.energy.2024.131880,abstract-level,domain-context,AGENT3_V2G_MOBILE_ENERGY_20260814.md,,seen via citation trail
wei2016,"Wei, W., Mei, S., Wu, L., Shahidehpour, M. & Fang, Y.",2016,Optimal Traffic-Power Flow in Urban Electrified Transportation Networks,IEEE Trans. Smart Grid 8(1):84–95,DOI: 10.1109/tsg.2016.2612239,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,
wei2018,"Wei Wei, Lei Wu, Jianhui Wang, and Shengwei Mei",2018,Network Equilibrium of Coupled Transportation and Power Distribution Systems,IEEE Transactions on Smart Grid 9(6),10.1109/TSG.2017.2723016,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;ROUTE_AND_RESPONSE_LEARNING_20260814.md;EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md;AGENT2_DICTATOR_DECOMPOSITION_20260814.md,Network_Equilibrium_of_Coupled_Transportation_and_Power_Distribution_Systems.pdf,kills static coupled-network fixed-point claim
wei2019,Wei et al.,2019,,J. Modern Power Systems & Clean Energy,DOI: 10.1007/s40565-019-0516-7,abstract-level,domain-context,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,review; title not captured
whenagentsmeet2026,,2026,"When Agents Meet Electric Bus Fleet Operations: Pricing Behavior, Trade-offs, and Policy Implications in an Aggregator Framework",arXiv,arXiv:2606.26400,abstract-level,core-threat,EXTERNAL_DEEP_DIVE_20260814.md;READING_QUEUE.md;AGENT1_MICROGRID_PRICE_FORMATION_20260814.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,LLM-agent aggregator over e-bus optimizer
williamson1975,"Williamson, O.",1975,Markets and Hierarchies,book,,abstract-level,method-anchor,AGENT4_ECONOMIC_THEORY_20260814.md,,classic book; no DOI
wolsey1981,"Wolsey, L.A.",1981,Integer programming duality: price functions and sensitivity analysis,Mathematical Programming 20:173–195,DOI: 10.1007/bf01589344,abstract-level,method-anchor,AGENT2_DICTATOR_DECOMPOSITION_20260814.md,,nonlinear price functions needed
wu2016,Wu et al.,2016,A Game Theoretic Approach to Risk-Based Optimal Bidding Strategies for Electric Vehicle Aggregators in Electricity Markets With Variable Wind Energy Resources,,10.1109/TSTE.2015.2498200,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;BIDDING_GAMES_20260814.md,A_Game_Theoretic_Approach_to_Risk-Based_Optimal_Bidding_Strategies_for_Electric_Vehicle_Aggregators_in_Electricity_Markets_With_Variable_Wind_Energy_Resources.pdf,kills risk-aware multi-aggregator EV bidding game claim
wu2019,"Z. Wu, F. Guo, J. Polak, and G. Strbac",2019,Evaluating grid-interactive electric bus operation and demand response with load management tariff,Applied Energy 255:113798,10.1016/j.apenergy.2019.113798,audited-full-text,core-threat,HANDOFF_PRICE_MAKER_20260814.md;MARKET_MECHANISMS_AND_BUS_DR_20260814.md;EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md;READING_QUEUE.md;AGENT1_MICROGRID_PRICE_FORMATION_20260814.md,5.pdf;S0306261919314850.html,kills bus service planning with endogenous DLMP claim
wu2021,"Wu, W., Lin, Y., Liu, R., Jin, W.",2021,The multi-depot electric vehicle scheduling problem with power grid characteristics,Transportation Research Part B 155:322–347,10.1016/j.trb.2021.11.007,abstract-level,core-threat,EVSP_PRICE_FEEDBACK_NOVELTY_20260814.md;READING_QUEUE.md;AGENT3_V2G_MOBILE_ENERGY_20260814.md,,cited as 2021 and 2022; TOU peak-load MDEVSP
